SENIUNIJA,population,green_area_ha,health_count,education_count,culture_count,green_area_per_1000,health_per_1000,education_per_1000,culture_per_1000
Naujininkai,30030,2258.082725890099,1.0,15.0,2.0,75.19422996637026,0.0333000333000333,0.49950049950049946,0.0666000666000666
Paneriai,8807,4148.822082080906,1.0,6.0,2.0,471.0823302010793,0.11354604292040422,0.6812762575224253,0.22709208584080845
Lazdynai,30945,681.7962343352574,4.0,19.0,2.0,22.032516863314182,0.12926159314913557,0.6139925674583939,0.06463079657456779
Grigiškės,10336,366.35088367243935,,,,35.44416444199297,,,
Vilkpėdė,19325,1330.784049806347,2.0,10.0,5.0,68.86334022283813,0.1034928848641656,0.517464424320828,0.258732212160414
Senamiestis,21780,119.63845958358802,8.0,27.0,58.0,5.493042221468687,0.3673094582185491,1.2396694214876032,2.662993572084481
Naujamiestis,28154,44.59444221175444,18.0,34.0,27.0,1.5839469422374952,0.6393407686296796,1.2076436740782837,0.9590111529445194
Rasos,10231,1071.4669731940912,2.0,11.0,1.0,104.72749224846947,0.19548431238393119,1.0751637181116216,0.09774215619196559
Karoliniškės,24751,176.3895853061136,3.0,17.0,1.0,7.1265639895807675,0.12120722395054745,0.6868409357197689,0.04040240798351582
Žvėrynas,12089,198.12098670340598,5.0,15.0,1.0,16.388533931955163,0.41359913971378937,1.2407974191413682,0.08271982794275788
Šnipiškės,16477,21.79756192225947,10.0,14.0,3.0,1.3229084130763773,0.6069065970747102,0.8496692359045943,0.18207197912241305
Viršuliškės,13877,79.7781116037835,3.0,14.0,1.0,5.7489451325058365,0.216185054406572,1.0088635872306695,0.07206168480219068
Naujoji Vilnia,36506,2027.0587478036728,3.0,19.0,2.0,55.52672842282564,0.08217827206486605,0.5204623897441516,0.0547855147099107
Šeškinė,28137,111.37831367159485,2.0,16.0,2.0,3.9584288897748463,0.07108078331023207,0.5686462664818566,0.07108078331023207
Justiniškės,25956,20.375223640492973,5.0,14.0,1.0,0.784990893839304,0.19263368777931886,0.5393743257820928,0.03852673755586377
Pilaitė,28234,1791.5598334785714,8.0,12.0,1.0,63.453985743379306,0.2833463200396685,0.4250194800595027,0.03541829000495856
Žirmūnai,43453,142.83119320079695,9.0,24.0,5.0,3.287027206425263,0.20712033691574805,0.5523208984419947,0.11506685384208225
Fabijoniškės,37006,211.79640972959467,2.0,16.0,1.0,5.723299187418112,0.0540452899529806,0.4323623196238448,0.0270226449764903
Pašilaičiai,40384,48.52403659005155,5.0,11.0,,1.2015658822813875,0.12381141045958795,0.2723851030110935,
Antakalnis,39242,11410.675546195474,23.0,38.0,11.0,290.7771149838305,0.5861067223892769,0.9683502369909791,0.280311910707915
Verkiai,50756,4137.088848394583,20.0,18.0,6.0,81.50935551254202,0.3940420836945386,0.35463787532508473,0.11821262510836157
